Place Name,CSOED,PD,LUX
"001 Carlow Urban, Co. Carlow",01001,2551.7,75.254970642
"002 Graigue Urban, Co. Carlow",01002,2929.3,88.510867858
"003 Clonmore, Co. Carlow",01003,18.8,-13.664155572
"004 Hacketstown, Co. Carlow",01004,51,-12.53375332
"005 Haroldstown, Co. Carlow",01005,25.8,-13.418415952
"006 Kineagh, Co. Carlow",01006,19.2,-13.650113308
"007 Rahill, Co. Carlow",01007,44.6,-12.758429544
"008 Rathvilly, Co. Carlow",01008,69.3,-11.891319742
"009 Tiknock, Co. Carlow",01009,31,-13.23586652
"010 Williamstown, Co. Carlow",01010,18.3,-13.681708402
"011 Agha, Co. Carlow",01011,32.1,-13.197250294
"012 Ballinacarrig (Part Urban), Co. Carlow",01012,63.7,-12.087911438
"013 Ballintemple, Co. Carlow",01013,20,-13.62202878
"014 Ballon, Co. Carlow",01014,73.4,-11.747386536
"015 Ballyellin, Co. Carlow",01015,27.2,-13.369268028
"016 Ballymoon, Co. Carlow",01016,24.5,-13.46405331
"017 Borris, Co. Carlow",01017,66.2,-12.000147288
"018 Burton Hall, Co. Carlow",01018,86.2,-11.298034088
"019 Carlow Rural (Part Urban), Co Carlow",01019,667.7,9.115907202
"020 Clogrenan, Co. Carlow",01020,59,-12.25290804
"021 Clonegall, Co. Carlow",01021,43.6,-12.793535204
"022 Corries, Co. Carlow",01022,30.6,-13.249908784
"023 Cranemore, Co. Carlow",01023,30.3,-13.260440482
"024 Fennagh, Co. Carlow",01024,41.4,-12.870767656
"025 Garryhill, Co. Carlow",01025,24.5,-13.46405331
"026 Grangeford, Co. Carlow",01026,33,-13.1656552
"027 Johnstown, Co. Carlow",01027,37.9,-12.993637466
"028 Kellistown, Co. Carlow",01028,48.8,-12.610985772
"029 Kilbride, Co. Carlow",01029,30.2,-13.263951048
"030 Killedmond, Co. Carlow",01030,21.6,-13.565859724
"031 Killerrig, Co. Carlow",01031,33.7,-13.141081238
"032 Leighlinbridge, Co. Carlow",01032,67,-11.97206276
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",01033,44.2,-12.772471808
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",01034,951.4,19.075382944
"035 Myshall, Co. Carlow",01035,34.4,-13.116507276
"036 Nurney, Co. Carlow",01036,35.9,-13.063848786
"037 Oldleighlin, Co. Carlow",01037,29.9,-13.274482746
"038 Rathanna, Co. Carlow",01038,5.2,-14.141592548
