 Electoral_Area,PD
"001 Carlow Urban, Co. Carlow",2551.7
"002 Graigue Urban, Co. Carlow",2929.3
"003 Clonmore, Co. Carlow",18.8
"004 Hacketstown, Co. Carlow",51
"005 Haroldstown, Co. Carlow",25.8
"006 Kineagh, Co. Carlow",19.2
"007 Rahill, Co. Carlow",44.6
"008 Rathvilly, Co. Carlow",69.3
"009 Tiknock, Co. Carlow",31
"010 Williamstown, Co. Carlow",18.3
"011 Agha, Co. Carlow",32.1
"012 Ballinacarrig (Part Urban), Co. Carlow",63.7
"013 Ballintemple, Co. Carlow",20
"014 Ballon, Co. Carlow",73.4
"015 Ballyellin, Co. Carlow",27.2
"016 Ballymoon, Co. Carlow",24.5
"017 Borris, Co. Carlow",66.2
"018 Burton Hall, Co. Carlow",86.2
"019 Carlow Rural (Part Urban), Co Carlow",667.7
"020 Clogrenan, Co. Carlow",59
"021 Clonegall, Co. Carlow",43.6
"022 Corries, Co. Carlow",30.6
"023 Cranemore, Co. Carlow",30.3
"024 Fennagh, Co. Carlow",41.4
"025 Garryhill, Co. Carlow",24.5
"026 Grangeford, Co. Carlow",33
"027 Johnstown, Co. Carlow",37.9
"028 Kellistown, Co. Carlow",48.8
"029 Kilbride, Co. Carlow",30.2
"030 Killedmond, Co. Carlow",21.6
"031 Killerrig, Co. Carlow",33.7
"032 Leighlinbridge, Co. Carlow",67
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",44.2
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",951.4
"035 Myshall, Co. Carlow",34.4
"036 Nurney, Co. Carlow",35.9
"037 Oldleighlin, Co. Carlow",29.9
"038 Rathanna, Co. Carlow",5.2
"039 Rathornan, Co. Carlow",22.5
"040 Rathrush, Co. Carlow",47.5
"041 Ridge, Co. Carlow",17
"042 Shangarry, Co. Carlow",25.7
"043 Sliguff, Co. Carlow",33.9
"044 Tankardstown, Co. Carlow",26.1
"045 Templepeter, Co. Carlow",27.9
"046 Tullowbeg, Co. Carlow",51.9
"047 Tullow Rural, Co. Carlow",61.5
"048 Tullow Urban, Co. Carlow",1188.6
"049 Ballymurphy, Co. Carlow",15.3
"050 Coonogue, Co. Carlow",13.7
"051 Glynn, Co. Carlow",16.9
"052 Kyle, Co. Carlow",19.1
"053 Marley, Co. Carlow",26.3
"054 Tinnahinch, Co. Carlow",47.8
"001 Arran Quay A, Dublin City",11652
"002 Arran Quay B, Dublin City",5488.3
"003 Arran Quay C, Dublin City",12391.7
"004 Arran Quay D, Dublin City",9007.8
"005 Arran Quay E, Dublin City",12455
"006 Ashtown A, Dublin City",5380.6
"007 Ashtown B, Dublin City",4440.7
"008 Ayrfield, Dublin City",6312.3
"009 Ballybough A, Dublin City",10882.4
"010 Ballybough B, Dublin City",10717.4
"011 Ballygall A, Dublin City",7451.5
"012 Ballygall B, Dublin City",3396.4
"013 Ballygall C, Dublin City",3551.2
"014 Ballygall D, Dublin City",5838.7
"015 Ballymun A, Dublin City",5061.3
"016 Ballymun B, Dublin City",6601.7
"017 Ballymun C, Dublin City",7905.7
"018 Ballymun D, Dublin City",5203.5
"019 Ballymun E, Dublin City",4406.7
"020 Ballymun F, Dublin City",5392.6
"021 Beaumont A, Dublin City",4801.8
"022 Beaumont B, Dublin City",5837.7
"023 Beaumont C, Dublin City",5448
"024 Beaumont D, Dublin City",4575.3
"025 Beaumont E, Dublin City",6512.4
"026 Beaumont F, Dublin City",6606.8
"027 Botanic A, Dublin City",2451.8
"028 Botanic B, Dublin City",7138.7
"029 Botanic C, Dublin City",7564.1
"030 Cabra East A, Dublin City",4109.8
"031 Cabra East B, Dublin City",8020
"032 Cabra East C, Dublin City",8947.8
"033 Cabra West A, Dublin City",3405.5
"034 Cabra West B, Dublin City",5685.6
"035 Cabra West C, Dublin City",5148.1
"036 Cabra West D, Dublin City",4736.6
"037 Clontarf East A, Dublin City",1626.4
"038 Clontarf East B, Dublin City",2056.5
"039 Clontarf East C, Dublin City",3845.2
"040 Clontarf East D, Dublin City",4413.5
"041 Clontarf East E, Dublin City",4400.4
"042 Clontarf West A, Dublin City",5211.1
"043 Clontarf West B, Dublin City",6105.1
"044 Clontarf West C, Dublin City",3485.8
"045 Clontarf West D, Dublin City",2834
"046 Clontarf West E, Dublin City",7587.9
"047 Drumcondra South A, Dublin City",4917.6
"048 Drumcondra South B, Dublin City",5120.4
"049 Drumcondra South C, Dublin City",4738.4
"050 Edenmore, Dublin City",4886.3
"051 Finglas North A, Dublin City",4591.3
"052 Finglas North B, Dublin City",4438.9
"053 Finglas North C, Dublin City",3121.4
"054 Finglas South A, Dublin City",4964.7
"055 Finglas South B, Dublin City",4270.7
"056 Finglas South C, Dublin City",7266.4
"057 Finglas South D, Dublin City",5627
"058 Grace Park, Dublin City",4669.3
"059 Grange A, Dublin City",5816.5
"060 Grange B, Dublin City",4664.8
"061 Grange C, Dublin City",6481.9
"062 Grange D, Dublin City",6046.7
"063 Grange E, Dublin City",4880.3
"064 Harmonstown A, Dublin City",4608.3
"065 Harmonstown B, Dublin City",4808.3
"066 Inns Quay A, Dublin City",12595
"067 Inns Quay B, Dublin City",13271.8
"068 Inns Quay C, Dublin City",9994.5
"069 Kilmore A, Dublin City",4734.2
"070 Kilmore B, Dublin City",5606.4
"071 Kilmore C, Dublin City",2825.9
"072 Kilmore D, Dublin City",3909.3
"073 Mountjoy A, Dublin City",18024.7
"074 Mountjoy B, Dublin City",17720.5
"075 North City, Dublin City",10540.9
"076 North Dock A, Dublin City",9960.3
"077 North Dock B, Dublin City",2350.7
"078 North Dock C, Dublin City",7988.6
"079 Phoenix Park, Dublin City",212.4
"080 Priorswood A, Dublin City",935.6
"081 Priorswood B, Dublin City",5936.7
"082 Priorswood C, Dublin City",5511.5
"083 Priorswood D, Dublin City",3518.4
"084 Priorswood E, Dublin City",6963.2
"085 Raheny-Foxfield, Dublin City",4255.4
"086 Raheny-Greendale, Dublin City",4948.7
"087 Raheny-St. Assam, Dublin City",1556.7
"088 Rotunda A, Dublin City",23926.4
"089 Rotunda B, Dublin City",11795.5
"090 Whitehall A, Dublin City",2497.1
"091 Whitehall B, Dublin City",5489.7
"092 Whitehall C, Dublin City",2933.5
"093 Whitehall D, Dublin City",5050.3
"094 Chapelizod, Dublin City",2808.9
"095 Cherry Orchard A, Dublin City",3322.7
"096 Carna, Dublin City",4953.4
"097 Cherry Orchard C, Dublin City",3228.2
"098 Crumlin A, Dublin City",6948.1
"099 Crumlin B, Dublin City",4002.2
"100 Crumlin C, Dublin City",4737.4
"101 Crumlin D, Dublin City",6981
"102 Crumlin E, Dublin City",7407.8
"103 Crumlin F, Dublin City",7480.9
"104 Decies, Dublin City",8450.2
"105 Drumfinn, Dublin City",4358.9
"106 Inchicore A, Dublin City",2421.8
"107 Inchicore B, Dublin City",2782.1
"108 Kilmainham A, Dublin City",10013.8
"109 Kilmainham B, Dublin City",3133.6
"110 Kilmainham C, Dublin City",9014.9
"111 Kimmage A, Dublin City",7094.3
"112 Kimmage B, Dublin City",8320
"113 Kimmage C, Dublin City",3265.2
"114 Kimmage D, Dublin City",5864.2
"115 Kimmage E, Dublin City",5168.6
"116 Kylemore, Dublin City",4635.3
"117 Mansion House A, Dublin City",7436
"118 Mansion House B, Dublin City",2050.3
"119 Merchants Quay A, Dublin City",15134.5
"120 Merchants Quay B, Dublin City",16433.5
"121 Merchants Quay C, Dublin City",10771.9
"122 Merchants Quay D, Dublin City",9905.6
"123 Merchants Quay E, Dublin City",11195.6
"124 Merchants Quay F, Dublin City",7327.1
"125 Pembroke East A, Dublin City",2405.6
"126 Pembroke East B, Dublin City",5652.3
"127 Pembroke East C, Dublin City",4471.2
"128 Pembroke East D, Dublin City",2865.6
"129 Pembroke East E, Dublin City",3301.3
"130 Pembroke West A, Dublin City",8011.6
"131 Pembroke West B, Dublin City",4156.4
"132 Pembroke West C, Dublin City",7281
"133 Rathfarnham, Dublin City",3846
"134 Rathmines East A, Dublin City",6989.8
"135 Rathmines East B, Dublin City",4876.9
"136 Rathmines East C, Dublin City",4563.3
"137 Rathmines East D, Dublin City",7673.5
"138 Rathmines West A, Dublin City",8371.3
"139 Rathmines West B, Dublin City",11112.6
"140 Rathmines West C, Dublin City",6366.8
"141 Rathmines West D, Dublin City",8330.3
"142 Rathmines West E, Dublin City",7477.1
"143 Rathmines West F, Dublin City",6580.4
"144 Royal Exchange A, Dublin City",10272.1
"145 Royal Exchange B, Dublin City",9406
"146 St. Kevin's, Dublin City",8292.4
"147 South Dock, Dublin City",7929.8
"148 Terenure A, Dublin City",6918.3
"149 Terenure B, Dublin City",6522
"150 Terenure C, Dublin City",2658.8
"151 Terenure D, Dublin City",1775.2
"152 Ushers A, Dublin City",5693.3
"153 Ushers B, Dublin City",5153.4
"154 Ushers C, Dublin City",10000
"155 Ushers D, Dublin City",14833.3
"156 Ushers E, Dublin City",8162.5
"157 Ushers F, Dublin City",7693.3
"158 Walkinstown A, Dublin City",2809.8
"159 Walkinstown B, Dublin City",5474.7
