Town,PD,TOWN
Hartlepool,973,HARTLEPOOL
Middlesbrough,"2,643",MIDDLESBROUGH
Redcar & Cleveland,561,REDCAR & CLEVELAND
Stockton-On-Tees,944,STOCKTON-ON-TEES
Darlington,511,DARLINGTON
Halton,"1,508",HALTON
Warrington,"1,101",WARRINGTON
Blackburn With Darwen,"1,022",BLACKBURN WITH DARWEN
Blackpool,"4,009",BLACKPOOL
Kingston Upon Hull,"3,694",KINGSTON UPON HULL
East Riding Of Yorkshire,141,EAST RIDING OF YORKSHIRE
North East Lincolnshire,820,NORTH EAST LINCOLNSHIRE
North Lincolnshire,191,NORTH LINCOLNSHIRE
York,744,YORK
Derby,"3,164",DERBY
Leicester,"4,182",LEICESTER
Rutland,101,RUTLAND
Nottingham,"4,111",NOTTINGHAM
Herefordshire,82,HEREFORDSHIRE
Telford And Wrekin,560,TELFORD AND WREKIN
Stoke-On-Trent,"2,569",STOKE-ON-TRENT
Bath & North East Somerset,520,BATH & NORTH EAST SOMERSET
Bristol,"4,026",BRISTOL
North Somerset,568,NORTH SOMERSET
South Gloucestershire,533,SOUTH GLOUCESTERSHIRE
Plymouth,"3,243",PLYMOUTH
Torbay,"2,135",TORBAY
Bournemouth,"3,641",BOURNEMOUTH
Poole,"2,195",POOLE
Swindon,877,SWINDON
Peterborough,505,PETERBOROUGH
Luton,"4,585",LUTON
Southend,"3,959",SOUTHEND
Thurrock,977,THURROCK
Medway,"1,337",MEDWAY
Bracknell Forest,"1,065",BRACKNELL FOREST
West Berkshire,219,WEST BERKSHIRE
Reading,"3,818",READING
Slough,"4,029",SLOUGH
Windsor And Maidenhead,744,WINDSOR AND MAIDENHEAD
Wokingham,912,WOKINGHAM
Milton Keynes,782,MILTON KEYNES
Brighton And Hove,"3,130",BRIGHTON AND HOVE
Portsmouth,"5,146",PORTSMOUTH
Southampton,"4,810",SOUTHAMPTON
Isle Of Wight,370,ISLE OF WIGHT
Isle Of Anglesey,96,ISLE OF ANGLESEY
Gwynedd,47,GWYNEDD
Conwy,98,CONWY
Denbighshire,116,DENBIGHSHIRE
Flintshire,342,FLINTSHIRE
Wrexham,265,WREXHAM
Powys,25,POWYS
Ceredigion,43,CEREDIGION
Pembrokeshire,72,PEMBROKESHIRE
Carmarthenshire,76,CARMARTHENSHIRE
Swansea,615,SWANSEA
Neath Port Talbot,311,NEATH PORT TALBOT
Bridgend,537,BRIDGEND
The Vale Of Glamorgan,378,THE VALE OF GLAMORGAN
Cardiff,"2,436",CARDIFF
Cynon,552,CYNON
Taff,552,TAFF
